"business_id"	"name"	"address"	"city"	"state"	"postal_code"	"latitude"	"longitude"	"stars"	"review_count"	"categories"
--1UhMGODdWsrMastO9DZw	The Spicy Amigos	"821 4 Avenue SW"	Calgary	AB	T2P 0K5	51.0497	-114.08	4	24	Restaurants, Mexican
--6MefnULPED_I942VcFNA	John's Chinese BBQ Restaurant	"328 Highway 7 E, Chalmers Gate 11, Unit 10"	Richmond Hill	ON	L4B 3P7	43.8417	-79.3998	3	44	Chinese, Restaurants
--7zmmkVg-IMGaXbuVd0SQ	Primal Brewery	"16432 Old Statesville Rd"	Huntersville	NC	"28078"	35.4371	-80.8437	4	58	Breweries, Food
--8LPVSo5i0Oo61X01sV9A	Valley Bone and Joint Specialists	"3941 E Baseline Rd, Ste 102"	Gilbert	AZ	"85234"	33.3786	-111.748	3	4	Orthopedists, Doctors, Sports Medicine, Weight Loss Centers, Health & Medical
--9e1ONYQuAa-CB_Rrw7Tw	Delmonico Steakhouse	"3355 Las Vegas Blvd S"	Las Vegas	NV	"89109"	36.1232	-115.169	4	1613	Cajun/Creole, Seafood, Steakhouses, Restaurants
--9QQLMTbFzLJ_oT-ON3Xw	Great Clips	"1835 E Guadalupe Rd, Ste 106"	Tempe	AZ	"85283"	33.3628	-111.909	3	12	Beauty & Spas, Hair Salons
--ab39IjZR_xUf81WyTyHg	Famous Footwear	"1800 E Rio Salado Pky 110, Tempe Marketplace"	Tempe	AZ	"85281"	33.4302	-111.905	4	11	Shoe Stores, Shopping, Sporting Goods, Sports Wear, Fashion, Accessories
--cgVkbWTiga3OYTkymKqA	Eazor's Auto Salon	"616 Long Rd"	Pittsburgh	PA	"15235"	40.4531	-79.8389	5	10	Automotive, Body Shops
--cjBEbXMI2obtaRHNSFrA	Howl at the Moon Pittsburgh	"125 7th St"	Pittsburgh	PA	"15222"	40.4438	-80.0003	3	65	Venues & Event Spaces, Music Venues, Nightlife, Dance Clubs, Event Planning & Services, Piano Bars, Bars, Arts & Entertainment
--cZ6Hhc9F7VkKXxHMVZSQ	Pio Pio	"1408 E Blvd"	Charlotte	NC	"28203"	35.1999	-80.8448	4	346	Restaurants, Spanish, Peruvian, Colombian, Latin American
--DaPTJW3-tB1vP-PfdTEg	Sunnyside Grill	"1218 Saint Clair Avenue W"	Toronto	ON	M6E	43.6778	-79.4447	3	49	Restaurants, Breakfast & Brunch
--DdmeR16TRb3LsjG0ejrQ	World Food Championships	"3645 Las Vegas Blvd S"	Las Vegas	NV	"89109"	36.1142	-115.171	3	5	Arts & Entertainment, Festivals
--e8PjCNhEz32pprnPhCwQ	Lucky's Pet Grooming & Boutique	"1460 E Charleston Blvd"	Las Vegas	NV	"89104"	36.1589	-115.133	3	29	Pet Services, Pets, Pet Stores, Pet Groomers
--EF5N7P70J_UYBTPypYlA	MV Nail Spa	"24139 Lorain Rd"	North Olmsted	OH	"44070"	41.4286	-81.8892	3	7	Beauty & Spas, Nail Salons
--EX4rRznJrltyn-34Jz1w	Bath & Body Works	"6801 Northlake Mall Dr"	Charlotte	NC	"28216"	35.3526	-80.8512	4	4	Shopping, Beauty & Spas, Cosmetics & Beauty Supply
--FBCX-N37CMYDfs790Bnw	The Bar At Bermuda & St. Rose	"11624 Bermuda Rd"	Henderson	NV	"89052"	35.9787	-115.155	4	135	Nightlife, Beer, Wine & Spirits, Bars, Restaurants, American (New), Food
--FLdgM0GNpXVMn74ppCGw	Welch Physical Therapy	"3011 S Lindsay Rd, Bldg 6, Ste 114"	Gilbert	AZ	"85296"	33.2955	-111.773	4	16	Health & Medical, Physical Therapy
--g-a85VwrdZJNf0R95GcQ	Kabab House	"3510 E Bell Rd, Ste 3"	Phoenix	AZ	"85032"	33.6413	-112.006	4	23	Lebanese, Restaurants, Mediterranean, Middle Eastern, Food, Arabian, Juice Bars & Smoothies, Halal, Turkish, Greek
--Gc998IMjLn8yr-HTzGUg	Sushiya	"1950 Chemin Fer à Cheval"	Sainte-Julie	QC	J3E 2T6	45.5754	-73.3266	3	3	Buffets, Restaurants, Japanese, Sushi Bars
--GM_ORV2cYS-h38DSaCLw	Mm Mm Pizza	"407 S Central Ave"	Canonsburg	PA	"15317"	40.2525	-80.1839	3	10	Restaurants, Pizza, Chicken Wings, Salad
--i1tTcggBi4cPkd-h5hDg	Lake Erie Nature & Science Center	"28728 Wolf Rd"	Bay Village	OH	"44140"	41.4857	-81.9373	4	21	Educational Services, Parks, Museums, Active Life, Education, Arts & Entertainment
--I7YYLada0tSLkORTHb5Q	Happy Moose Bar and Grill	"9436 State Rte 14"	Streetsboro	OH	"44241"	41.2429	-81.3527	3	96	Nightlife, Sports Bars, Restaurants, Bars, American (Traditional)
--irMpXK9y_xLlXPvPAQvw	Ronald Mcdonald House of Charlotte	"1613 E Morehead St"	Charlotte	NC	"28207"	35.2036	-80.8338	5	3	Home Health Care, Community Service/Non-Profit, Health & Medical, Local Services
--j-kaNMCo1-DYzddCsA5Q	Q's Nails	"3039 S Blvd, Ste C"	Charlotte	NC	"28209"	35.1974	-80.8688	4	4	Hair Removal, Nail Technicians, Beauty & Spas, Nail Salons, Waxing, Day Spas
--KCl2FvVQpvjzmZSPyviA	Hungry Howie's Pizza	"6426 W Sugar Creek Rd, Unit A"	Charlotte	NC	"28269"	35.3335	-80.7962	3	13	Restaurants, Pizza, Sandwiches
--kinfHwmtdjz03g8B8z8Q	The Manor - Boutique Salon	"659 Mt Pleasant Road"	Toronto	ON	M4S	43.7055	-79.3887	5	8	Day Spas, Beauty & Spas, Hair Salons
--KQsXc-clkO7oHRqGzSzg	Sam's Club	"15255 N Northsight Blvd"	Scottsdale	AZ	"85260"	33.6224	-111.895	3	35	Department Stores, Tires, Wholesale Stores, Fashion, Shopping, Automotive
--lpHMVmkCuji0ZrpHtXEA	SkinRN	"2610 Horizon Ridge Pkwy, Ste 100"	Henderson	NV	"89052"	36.0028	-115.102	5	3	Laser Hair Removal, Hair Removal, Beauty & Spas, Health & Medical, Skin Care, Medical Spas
--lZAZSwpP_axKoL4lR9dQ	C Market	"1006 Avenue Pape"	East York	ON	M4K 3V9	43.6886	-79.3487	4	3	Delis, Restaurants, Sandwiches
--Ni3oJ4VOqfOEu7Sj2Vzg	KFC	"1245 Pearl Rd"	Brunswick	OH	"44212"	41.2419	-81.8411	2	6	Chicken Wings, Restaurants, Fast Food, Chicken Shop
