"review_id"	"user_id"	"business_id"	"review_text"	"review_date"
-lFvxYOmAuZMOelAs0dwgw	---1lKK3aKOuomHnwAkAow	XJGMgs9Kh4kcgf8Oskiewg	SSBjYW50IGJlbGlldmUgSSBoYXZlIG5vdCBZZWxwZWQgdGhpcyB5ZXQuICBJIHRoaW5rIEkgb25seSBZZWxwIHdoZW4gSSBhbSBodW5ncnkgYW5kIHRoZW4gSSBvbmx5IHRoaW5rIGZvb2QuICAKClRoZWF0cmUgNyBpcyBBTUFaSU5HISAgRGVyZWsgaXMgb25lIG9mIHRoZSBuaWNlc3QgZ3V5cyBpbiB0aGUgY29tbXVuaXR5LiAgSSBGYWNlYm9va2VkIGhpbSBhbmQgYXNrZWQgaWYgSSBjYW4gdXNlIHRoZSBzcGFjZSBmb3IgVEVEeFlvdXRoIGFuZCBoZSBzYWlkIHllcy4gIEhlIGlzIHZlcnkgcGFzc2lvbmF0ZSBhYm91dCB0aGUgaW5kZXBlbmRlbnQgZmlsbSBzY2VuZSBhbmQgdGhlIGxvY2FsIExhcyBWZWdhcyBDb21tdW5pdHkuICBZb3UgdG9vIGNhbiByZW50IG91dCB0aGUgc3BhY2UgZm9yIGNvb2wgZmlsbSBldmVudHMuIAoKQE1pc3RpIHdlIHNob3VsZCBoYXZlIGEgWUVMUCBGaXJzdCBGcmlkYXkgcGFydHkgaGVyZS4gIEl0IHdvdWxkIGJlIHJlYWxseSBhd2Vzb21lISAKClRoZXkgYWxzbyBkaWQgYSBTYXZlIHRoZSBIdW50cmlkZ2UgYnVpbGQgb24gYSBGaXJzdCBGcmlkYXkuCgpEaWQgSSBtZW50aW9uIFBvbHlHcmluZCwgem9tYmllcywgYmxvb2QgZ29yZSwgZmlsbSBmZXN0aXZhbCByaWdodCBoZXJlIGluIFZlZ2FzLiAgVGhleSB0YWtlIFJlZCBDYXJwZXQgdG8gYSB3aG9sZSBvdGhlciBsZXZlbC4gIAoKSXQgaXMgYWxzbyBhbiBhcnQgZ2FsbGVyeSBzcGFjZSwgaW1wcm92ZSBjbGFzcyBzcGFjZSwgZmlsbSBuZXR3b3JraW5nIHNwYWNlLCBhbmQgYWxsIGFyb3VuZCBhbWF6aW5nIHBsYWNlIHRvIGJlLiAKClNvIGlmIHlvdSBhcmUgc2ljayBvZiB3YXRjaGluZyByb21hbnRpYyBjb21lZGllcyBhdCB0aGUgbWVnYXBsZXggZ3JhYiBhIHNlYXQgYXQgVGhlYXRyZSA3Lg==	1347033511.000000
-nyKSlK-acm7Tkuobbw3MA	---1lKK3aKOuomHnwAkAow	cHuA0Yb5oYwx1lrNVABqdQ	SSBrbm93IGl0cyBjbGljaGUgdGhhdCB3b21lbiBsaWtlIGNob2NvbGF0ZXMuIEkgbGlrZSB3ZWlyZCBhbmQgaW50ZXJlc3RpbmcgY2hvY29sYXRlcy4gRXZlcnl0aGluZyBmcm9tIHRoZSBrZXkgbGltZSBwZWFyIGNoaXBzIHRoYXQgYXJlIGRpcHBlZCBpbiBjaG9jb2xhdGVzIHRvIHRoZSBwb3J0IHdpbmUgc3F1YXJlcyBvZiBsb3ZlbHkhIFRoZSBvd25lciBpcyByZWFsbHkga2luZCBhbmQgYW5zd2VyZWQgbXkgaHVzYmFuZHMgbnVtZXJvdXMgcXVlc3Rpb25zIGFib3V0IHdoaWNoIGNob2NvbGF0ZXMgdXNlZCBFbCBSZXkgaW4gdGhlaXIgZm9ybXVsYXRpb25zLiAgSSBvbmx5IHdpc2ggdGhlcmUgd2FzIGEgY2hvY29sYXRlIGNvLW9wIGluIHRvd24gc28gd2UgY291bGQgc2VlIHRoZSBjaG9jb2xhdGUgYmVpbmcgbWFkZS4=	1329607876.000000
-pk4s5YUD0grEEBt2QYlDA	---1lKK3aKOuomHnwAkAow	bPcqucuuClxYrIM8xWoArg	RGlkIGFueW9uZSBtZW50aW9uIGJhY29uIGNob2NvbGF0ZSBpY2UgY3JlYW0uICBUaGV5IGFyZSB3b3J0aCBjaGVja2luZyBvdXQgb24gRmFjZWJvb2sgYWxzbyBiZWNhdXNlIHRoZXkgcG9zdCB3aGVuIHRoZXkgbWFrZSBzcGVjaWFsIGl0ZW1zLiAgSSB0aGluayB0aGV5IGFyZSB0aGUgYmVzdCBsdW5jaCBmb3IgdGhlIG1vbmV5IG9uIHRoZSBzdW1tZXJsaW4gc2lkZSBvZiB0b3duLiAgSSBhbHNvIGxvdmUgdGhlIHBhdGlvIGFuZCB0aGUgRWRpc29uIGxpZ2h0IGJ1bGJzLiAgQW5kIEJBQ09OIENIT0NPTEFURSBJQ0UgQ1JFQU0u	1317320228.000000
-UtICN8nUQ4g9qIHlQRrxw	---1lKK3aKOuomHnwAkAow	rq5dgoksPHkJwJNQKlGQ7w	QmVzdCBjb2ZmZWUgaW4gdG93biwgdGhleSBicmV3IGVhY2ggY3VwLiBJZiB5b3UgYXJlIG9uZSBvZiB0aG9zZSBhbHdheXMgcnVubmluZyBsYXRlIGVnb21hbmlhY3MgcGxlYXNlIGtlZXAgZ29pbmcgdG8gU3RhcmJ1Y2tzLCB5b3UgYXJlIHJlYWxseSB0b28gaW1wYXRpZW50IHRvIFNhdm9yIQoKIElmIHlvdSB3YW50IHRvIGV4cGVyaWVuY2UgYSBncmVhdCBjdXAgaW4gYSBiZWF1dGlmdWwgbG9jYXRpb24gc3Vycm91bmRlZCBieSBib29rcywgY29tZSBoZXJlLiAgVGhlIGN1c3RvbWVycyBhcmUgcHJldHR5IG5pY2UgdG9vLCBnb29kIGNvbnZlcnNhdGlvbnMgdG8gYmUgaGFkLiAgTGl2ZSBtdXNpYyBvbiB3ZWVrZW5kLCBhbmQgSSBhbSBzdXJlIG1vcmUgY3VsdHVyZSB0byBjb21lLiAgVGhlIG93bmVycyByZWFsbHkgYXJlIHBhc3Npb25hdGUgYWJvdXQgZXZlcnl0aGluZyB0aGV5IGRvLCBhbmQgaGF2ZSB0cmFpbmVkIHRoZWlyIHN0YWZmIGluIGNvZmZlZXMgaGlzdG9yeS4gIElmIHlvdSB3YW50IHRvIGhpdCBtZSB1cCBmb3IgYSBnYW1lIG9mIGNoZXNzIHlvdSBhcmUgbGlrZWx5IHRvIGZpbmQgbWUgYmVoaW5kIG15IGFjZXIgYXQgU2FtYmFsYXR0ZS4=	1287264688.000000
"0cdjRebZLHYu-xyMSFKgMQ"	---1lKK3aKOuomHnwAkAow	R-McIj4Psxl1VlEacsXeRg	WW91IGd1eXMgbmVlZCB0byBiZSBvcGVuIHdoZW4gdGhlIGZhcm1lcnMgbWFya2V0IGlzIG9wZW4uICBTZXJpb3VzbHkgOSBhbSBpcyBub3QgdG8gZWFybHkgZm9yIGNyZXBlcy4gIEFueWhvdyB0aGV5IHdvdWxkIGJlIDUgc3RhcnMgYnV0IHRoaXMgdGltZSB0aGluZyBpcyBhIGJ1bW1lci4gIEkgcmVhbGx5IGxvdmUgdGhlIGxvY2F0aW9uIGFuZCB0aGUgZmFjdCB0aGUga2lkcyBjYW4gYnVybiB0aGUgc3VnYXIgb2ZmIHBsYXlpbmcu	1317320474.000000
"0hS9a57nL2qBTWoZCJBB2A"	---1lKK3aKOuomHnwAkAow	Vg1C_1eqwIwkZLIXGMTW3g	R3JhdGVkIGNoZWVzZSBvbiBhIDcgZG9sbGFyIGNlYXNlciBkbyBubyBjcm91dG9ucyBtYWRlIG1lIGxvbmcgZm9yIHRoZSB0aW1lIG9uIHRoZSByYWNrLiAgU29ycnkgdGhpcyBpcyBub3QgYSBoYXJkIHNhbGFkIHRvIG1ha2UgYW5kIGl0IGhhcyBqdXN0IGEgdGlueSBudW1iZXIgb2YgaW5ncmVkaWVudHMgaWYgeW91IGNhbid0IGdldCB0aGF0IHJpZ2h0IEkgZG9uJ3QgdGhpbmsgSSB3aWxsIGJlIGJhY2suCgoKUmljaGFyZCBpdCB3YXMgYWJvdXQgdHdvIHdlZWtzIGFnby4=	1448854643.000000
"12_4xbZupkMox3adrUCwwA"	---1lKK3aKOuomHnwAkAow	"5cbsjFtrntUAeUx51FaFTg"	U28gSSB3YXMgY29taW5nIGhlcmUgb25jZSBhIG1vbnRoIG9yIHNvIG1heWJlIG1vcmUsIGhvd2V2ZXIgYWZ0ZXIgSGFwcHkgSG91ciBEaXNhc3RlciBJIHdpbGwgbm90IGJlIGJhY2suICBJIHdlbnQgdG8gSGFwcHkgSG91ciBhbmQgYXNrZWQgaWYgdGhleSBjb3VsZCBkbyBhIHZlZ2dpZSB0YWNvIGluc3RlYWQgb2YgYSBtZWF0IG9uZS4gIFRoZXkgc2VyaW91c2x5IGRlbGl2ZXJlZCBhIHRvcnRpbGxhIHdpdGggcGVwcGVycyBpbiBpdC4gIFRoYXRzIGl0ISBObyBjaGVlc2UsIHNhbHNhLCBzb3VyIGNyZWFtIGp1c3Qgc29tZSBzb3JyeSBwZXBwZXJzLiAgVGhlbiBib3kgd29uZGVyIG1hbmFnZXIgc3RhcnRzIHRlbGxpbmcgbWUgdGhlIGFib3V0IHRoZSBidWxrIHByaWNlIG9mIG1lYXQuICBSZWFsbHkgVGltYmVybGFrZSBrbm9jayBvZmYgeW91IHRoaW5rIEkgY2FyZT8gIElmIHlvdSBkb250IGRvIHZlZ2dpZSB0YWNvIHRoZW4gZG9udCBkbyB0aGVtLiAgTWF5YmUgYSBtZWEgY3VscGEgd291bGQgYmUsIHdlIGRvbnQgZG8gdmVnZ2llIHRhY29zIGJ1dCBsZXQgbWUgdGFrZSAyIGJ1Y2tzIG9mZiB0aGUgcG90YXRvIHRhY29zIHdlIGFjdHVhbGx5IG1ha2UuICBTYXkgZ29vZGJ5ZSB0byBteSAxNDAgZG9sbGFycyBhIG1vbnRoLCB0b28gYmFkIGJlY2F1c2UgSSBsaWtlIHlvdXIgZm9vZC4gSSBhbHdheXMgcmVjb21tZW5kIEFnYXZlIHRvIGh1bmdyeSByb2NrIGNsaW1iZXJzIGFzIGl0IGlzIGNsb3NlIHRvIFJlZCBSb2NrLCBidXQgbm8gbW9yZS4=	1288991575.000000
"1ikB-TEgwg2gigixDEDSuA"	---1lKK3aKOuomHnwAkAow	kosTPb88O4Q0XGbVbEOGCA	V2hpbGUgaXRzIG5vdCBMb3R1cyBpdCB3YXMgdGFzdHkgYW4gdGhlIHdvbWVuIHdlcmUgbmljZS4gVGhlIGNvb2sgd2FzIHNpbmdpbmcgc28gSSdtIHN1cmUgZm9vZCB3YXMgbWFkZSB3aXRoIGxvdmUu	1287264422.000000
"1PJpo48hSChCbriXEHGSjw"	---1lKK3aKOuomHnwAkAow	yp2nRId4v-bDtrYl5A3F-g	VGhpcyBzaG91bGQgYmUga2VwdCBhIHNlY3JldCBzbyB0aGF0IG5vIG9uZSBoYXMgdGhlIHRlcnJpYmxlIGZvb2QgSSBoYWQuICBUaGVyZSBhcmUgbWFueSBncmVhdCBUaGFpIHBsYWNlcyBpbiBMYXMgVmVnYXMgYW5kIHRoZXJlIGlzIG5vIG5lZWQgdG8gZWF0IGhlcmUuICAKClRoZSBvbmx5IHBsdXMgaXMgdGhhdCB0aGUgdGlueSBkaW5pbmcgcm9vbSBpcyBjdXRlLiAgSG9wZWZ1bGx5IHRoaXMgYm9kZXMgZm9yIHRoZW0gZ29pbmcgb3V0IG9mIGJ1c2luZXNzIGFuZCBzb21lb25lIHdobyBjYW4gY29vayBjYW4gY29tZSBpbi4gIAoKRmlyZWNyYWNrZXIgcHJhd25zIHdlcmUgZGVlcCBmcmllZCBicmVhZGVkIHNocmltcCB3aXRoIHNvbWUgc2F1Y2UgZHJpenpsZWQgb24sIHJlYWxseSB3b3VsZCBhIHJhbWVraW4gb2Ygc2F1Y2Uga2lsbCB5b3U/ICBOb3JtYWxseSBJIGFtIHVzZWQgdG8gcHJhd25zIGluIHl1bW15IGVnZyByb2xsIHdyYXBwZXJzLiAKCk15IGh1c2JhbmQgc2VudCBiYWNrIHRoZSBkcnVua2VuIG5vZGRsZXMgYmVjYXVzZSBpdCBoYWQgZWdncywgd2hpY2ggd2UgaGF2ZSBuZXZlciBoYWQgaW4gYW55IFRoYWkgcmVzdGF1cmFudCBldmVyLiAgSGUgdGhlbiBnb3QgYSB2ZXJ5IHVucmVtYXJrYWJsZSBiYXNpbCBjaGlja2VuIHdoaWNoIHdhcyBoYWQgc28gbXVjaCBncmlzdGxlIGhlIGhhZCB0byBzcGl0IGl0IG91dC4gIAoKTXkgY3JhYiBmcmllZCByaWNlIGVpdGhlciBoYWQgZmFrZSBjcmFiIG9yIHJlYWxseSB0ZXJyaWJsZSBjcmFiLiAKClRoZSBvbmx5IG9rYXkgdGhpbmcgd2FzIHRoZSBjaGlja2VuIHNhdGF5IHdlIG9yZGVyZWQgZm9yIHRoZSBjaGlsZHJlbi4gIFRoZSB3YXRlciB3YXMgaW5mdXNlZCB3aXRoIGZydWl0LCB0aGF0IHdhc24ndCBiYWQuIAoKVGhlIHByZXNlbnRhdGlvbiB3YXMgYWxsIHN0aWNrIG9uIGEgc2xpY2Ugb2YgcGluZWFwcGxlLiAgRWl0aGVyIGZpZ3VyZSBvdXQgc29tZSBuZXcgcGxhdGluZyBvciBzZXJ2ZSBpdCBmYW1pbHkgc3R5bGUu	1290276429.000000
"23MKMYyMrw7mRrNlC2hwBA"	---1lKK3aKOuomHnwAkAow	sZsJooAzpKqOvDysphkqpQ	SSBrbm93IEkgYW0gZ29pbmcgdG8gam9pbiBhIGxpc3Qgb2YgYW1hemluZyBwZW9wbGUgd2hvIHRoaW5rIHRoaXMgcGl6emEgaXMgcHJvZm91bmQuICBJIGxpa2UgdGhhdCBJIGNhbiBncmFiIGEgd2VpcmQgc2xpY2UgYmVmb3JlIHZpc2l0aW5nIEluc3VyZ28gKGh0dHA6Ly93d3cuaW5zdXJnb3RoZWF0ZXIub3JnLykuIEEgYm9udXMgdG8gYW4gYWxyZWFkeSBzdXJyZWFsIGV4aXN0ZW5jZS4gSSB3YXMgbm90IHN1cmUgaWYgSSB3b3VsZCBsaWtlIHBpenphIHdpdGggcG90YXRvZXMtLXBlcmZlY3RseSBwbGVhc3VyYWJsZS4=	1340339611.000000
